question,answer,category,sub_category
Q: What is AWS Elastic Beanstalk?,"AWS Elastic Beanstalk makes it even easier for developers to quickly deploy and manage applications in the AWS Cloud. Developers simply upload their application, and Elastic Beanstalk automatically handles the deployment details of capacity provisioning, load balancing, auto-scaling, and application health monitoring.",Elastic Beanstalk, General
Q: Who should use AWS Elastic Beanstalk?,"Those who want to deploy and manage their applications within minutes in the AWS Cloud. You don’t need experience with [cloud computing](https://web.archive.org/web/20240727090637/https://aws.amazon.com/what-is-cloud-computing/) to get started. AWS Elastic Beanstalk supports Java, .NET, PHP, Node.js, Python, Ruby, Go, and Docker web applications.",Elastic Beanstalk, General
Q: Which languages and development stacks does AWS Elastic Beanstalk support?,AWS Elastic Beanstalk supports the following languages and development stacks:,Elastic Beanstalk, General
Q: Will AWS Elastic Beanstalk support other languages?,Yes. AWS Elastic Beanstalk is designed so that it can be extended to support multiple development stacks and programming languages in the future. AWS is working with solution providers on the APIs and capabilities needed to create additional Elastic Beanstalk offerings.,Elastic Beanstalk, General
Q: What can developers now do with AWS Elastic Beanstalk that they could not before?,"AWS Elastic Beanstalk automates the details of capacity provisioning, load balancing, auto scaling, and application deployment, creating an environment that runs a version of your application. You can simply upload your deployable code (e.g., WAR file), and AWS Elastic Beanstalk does the rest. The AWS Toolkit for Visual Studio and the AWS Toolkit for Eclipse allow you to deploy your application to AWS Elastic Beanstalk and manage it without leaving your IDE. Once your application is running, Elastic Beanstalk automates management tasks–such as monitoring, application version deployment, a basic health check–and facilitates log file access. By using Elastic Beanstalk, developers can focus on developing their application and are freed from deployment-oriented tasks, such as provisioning servers, setting up load balancing, or managing scaling.",Elastic Beanstalk, General
Q: How is AWS Elastic Beanstalk different from existing application containers or platform-as-a-service solutions?,"Most existing application containers or platform-as-a-service solutions, while reducing the amount of programming required, significantly diminish developers’ flexibility and control. Developers are forced to live with all the decisions predetermined by the vendor–with little to no opportunity to take back control over various parts of their application’s infrastructure. However, with AWS Elastic Beanstalk, developers retain full control over the AWS resources powering their application. If developers decide they want to manage some (or all) of the elements of their infrastructure, they can do so seamlessly by using Elastic Beanstalk’s management capabilities.",Elastic Beanstalk, General
Q: What elements of my application can I control when using AWS Elastic Beanstalk?,"With AWS Elastic Beanstalk, you can:",Elastic Beanstalk, General
Q: What are the Cloud resources powering my AWS Elastic Beanstalk application?,"AWS Elastic Beanstalk uses proven AWS features and services, such as Amazon EC2, Amazon RDS, Elastic Load Balancing, Auto Scaling, Amazon S3, and Amazon SNS, to create an environment that runs your application. The current version of AWS Elastic Beanstalk uses the Amazon Linux AMI or the Windows Server 2019.",Elastic Beanstalk, General
Q: What kinds of applications are supported by AWS Elastic Beanstalk?,"AWS Elastic Beanstalk supports Java, .NET, PHP, Node.js, Python, Ruby, Go, and Docker, and is ideal for web applications. However, due to Elastic Beanstalk’s open architecture, non-web applications can also be deployed using Elastic Beanstalk. We expect to support additional application types and programming languages in the future. See [Supported Platforms](https://web.archive.org/web/20240727090637/https://docs.aws.amazon.com/elasticbeanstalk/latest/dg/concepts.platforms.html) to learn more.",Elastic Beanstalk, General
Q: Which operating systems does AWS Elastic Beanstalk use?,"AWS Elastic Beanstalk runs on the Amazon Linux AMI and the Windows Server AMI. Both AMIs are supported and maintained by Amazon Web Services and are designed to provide a stable, secure, and high-performance execution environment for Amazon EC2 Cloud computing.",Elastic Beanstalk, General
