,question,answer,category,sub_category
0,What is Amazon Elastic Container Service (ECS)?,"Amazon ECS is a fully managed opinionated container orchestration service that delivers the easiest way for organizations to build, deploy, and manage containerized applications at any scale on AWS, in traditional [Amazon Elastic Cloud Compute](https://web.archive.org/web/20240727074557/https://aws.amazon.com/ec2/) (EC2) instances or on a serverless compute plane with [AWS Fargate](https://web.archive.org/web/20240727074557/https://aws.amazon.com/fargate/). Amazon ECS is fully managed and versionless, providing tooling and built-in support that makes it simple to build and run containerized applications on AWS. For example, Amazon ECS Service Connect simplifies service discovery, connectivity, and traffic observability while [Amazon CloudWatch Container Insights](https://web.archive.org/web/20240727074557/https://docs.aws.amazon.com/AmazonECS/latest/developerguide/cloudwatch-container-insights.html) collects, aggregates, and summarizes metrics and logs. With Amazon ECS, you do not have to provision or scale servers or clusters or choose the types of severs you want your containers to run on or optimize cluster packing. You retain control of the operating properties of containers with the ability to specify CPU and memory requirements, networking and IAM policies, and launch type and data volumes. With simple API calls, you can launch and stop container-enabled applications, query the complete state of your cluster, and access many familiar features like security groups, [Elastic Load Balancing](https://web.archive.org/web/20240727074557/https://aws.amazon.com/elasticloadbalancing/) (ELB), [Amazon Elastic Block Store](https://web.archive.org/web/20240727074557/https://aws.amazon.com/ebs/) (EBS) volumes, and Identity Access Management (IAM) roles. You can use Amazon ECS to schedule container placement across your cluster based on your resource needs and availability requirements.",Elastic Container Service,General
1,Why should I use Amazon ECS?,"Amazon ECS is a fully managed container orchestration service makes it easy to use containers to deploy and manage long-running applications, services, and batch processes without needing to install, operate, and scale your own cluster management infrastructure. Amazon ECS maintains application availability and allows you to scale your containers up or down to meet your application's capacity requirements. When used with AWS Fargate, Amazon ECS allows you to deploy applications without needing to provision, manage, or scale compute infrastructure, reducing the time it takes for you to build, deploy, or migrate your containerized applications successfully. Furthermore, Amazon ECS is integrated with familiar features like ELB, [Amazon Virtual Private Cloud ](https://web.archive.org/web/20240727074557/https://aws.amazon.com/vpc/)(VPC), IAM, Application AutoScaling, [Amazon CloudWatch](https://web.archive.org/web/20240727074557/https://aws.amazon.com/cloudwatch/), and [Amazon Elastic File System](https://web.archive.org/web/20240727074557/https://aws.amazon.com/efs/) (EFS), meaning that you don’t need to build or maintain generalized abstractions.",Elastic Container Service,General
2,What role does Amazon ECS play within AWS?,"Amazon ECS is a fully managed opinionated container orchestration service that delivers the easiest way for organizations to build, deploy, and manage containerized applications at any scale. Amazon ECS is fully managed and versionless, providing tooling and built-in support that makes it simple to build and run containerized applications on AWS. For example, with Amazon ECS, you do not need to provision or scale servers or clusters or choose the types of severs you want your containers to run on or optimize cluster packing. You retain control of the operating properties of containers with the ability to specify CPU and memory requirements, networking and IAM policies, compute platform (AWS Fargate or Amazon EC2), and data volumes. 
With AWS Fargate, Amazon ECS supports serverless container orchestration so you can leverage more of AWS’s operational excellence when it comes to scaling, maintaining availability, and securing your containerized workloads. If you want to modernize your container-based applications with little to no re-factoring, but still enjoy the many advantages of scale, agility, and cost that serverless compute provides, Amazon ECS with AWS Fargate is an ideal compute choice.
Amazon ECS Service Connect simplifies service discovery, connectivity, and traffic observability while Amazon ECS CloudWatch Container Insights collects, aggregates, and summarizes metrics and logs. When you desire more control over the characteristics of how your applications run, Amazon ECS on Amazon EC2 is available, as well as Amazon ECS Anywhere, for when you want to run container workloads on your infrastructure. Collectively, Amazon ECS on AWS Fargate, Amazon ECS on Amazon EC2, and Amazon ECS Anywhere give you the ability to run a wide variety of applications all with the same experience and tooling. Given this, over 65% of all new AWS container customers use Amazon ECS.
With AWS you have a comprehensive choice of serverless compute options including Amazon ECS with AWS Fargate and [AWS Lambda](https://web.archive.org/web/20240727074557/https://aws.amazon.com/lambda/), a serverless compute service that runs your code in response to events with [Event-Driven Architecture](https://web.archive.org/web/20240727074557/https://aws.amazon.com/event-driven-architecture/) (EDA) and automatically manages the underlying compute resources for you. You can use one or more of these compute choices depending on your use case. Whether it’s Amazon ECS with AWS Fargate or AWS Lambda, AWS serverless choices deliver the advantages of scale, agility, and cost that serverless compute provides.",Elastic Container Service,General
3,What is the pricing for Amazon ECS?,"There is no additional charge for Amazon ECS. You pay for AWS resources (for example, Amazon EC2 instances, AWS Fargate resources or Amazon EBS volumes) you create to store and run your application. You only pay for what you use, as you use it; there are no minimum fees and no upfront commitments. There are two different charge models for Amazon ECS. Amazon ECS on AWS Outposts follows the same model as Amazon EC2 Launch Type. 

Amazon EC2 Launch Type Model: There is no additional charge for Amazon EC2 launch type. You pay for AWS resources (such as Amazon EC2 instances or Amazon EBS volumes) you create to store and run your application. You only pay for what you use, as you use it; there are no minimum fees and no upfront commitments. See detailed pricing information on the [Amazon EC2 pricing page](https://web.archive.org/web/20240727074557/https://aws.amazon.com/ec2/pricing/).
AWS Fargate Launch Type Model: With AWS Fargate, you pay for the amount of vCPU and memory resources that your containerized application requests. vCPU and memory resources are calculated from the time your container images are pulled until the Amazon ECS Task terminates, rounded up to the nearest second. A minimum charge of one minute applies. See detailed pricing information on the [AWS Fargate pricing page](https://web.archive.org/web/20240727074557/https://aws.amazon.com/fargate/pricing/?nc=sn&loc=2).",Elastic Container Service,General
4,How is Amazon ECS different from AWS Lambda?,"Amazon ECS is a highly scalable container orchestration service that allows you to run and manage distributed applications that run in containers. AWS Lambda is an event-driven task compute service that runs your code in response to “events” such as changes in data, website clicks, or messages from other AWS services without you having to manage any compute infrastructure. Many applications use both of these constructs in production, and customers often use both to take advantage of their respective benefits.",Elastic Container Service,General
5,How do I get started using Amazon ECS?,"Visit our [Getting Started page](https://web.archive.org/web/20240727074557/https://aws.amazon.com/ecs/getting-started/) for more information on how to start using Amazon ECS. Whether you are new to Amazon ECS or you already have a use case in mind, you can choose your own path and follow the curated learning steps to get started.",Elastic Container Service,Using Amazon ECS
6,What is an Amazon ECS task?,"Modern application (say Microservices) architecture recommends to split your applications into the individual units, and Amazon ECS is optimized for this pattern. Tasks are the smallest unit of compute in Amazon ECS and allow you to define a set of containers you would like to place together, their properties, and how they may be linked. Tasks include all the information Amazon ECS needs to make the placement decision. To launch a single container, your task definition should only include one container definition.",Elastic Container Service,Using Amazon ECS
7,How do I run applications and services on Amazon ECS?,"Yes. The Amazon ECS service scheduler can manage long-running applications and services. The service scheduler helps you maintain application availability and allows you to scale your containers up or down to meet your application's capacity requirements. The service scheduler allows you to distribute traffic across your containers using ELB. Amazon ECS will automatically register and deregister your containers from the associated load balancer. The service scheduler will also automatically recover containers that become unhealthy (i.e., fail ELB health checks) or stop running to ensure you have the desired number of healthy containers supporting your application.
You can scale your application up and down by changing the number of containers you want the service to run. You can update your application by changing its definition or using a new image. The scheduler will automatically start new containers using the new definition and stop containers running the previous version (waiting for the ELB connections to drain if ELB is used).",Elastic Container Service,Using Amazon ECS
8,How does Amazon ECS support autoscaling of applications?,"Applications and microservices deployed to Amazon ECS leverage the [Application Auto Scaling](https://web.archive.org/web/20240727074557/https://docs.aws.amazon.com/AmazonECS/latest/developerguide/service-auto-scaling.html) service to automatically scale based on observed metrics data. Amazon ECS [measures service utilization](https://web.archive.org/web/20240727074557/https://docs.aws.amazon.com/AmazonECS/latest/developerguide/cloudwatch-metrics.html#service_utilization) based on CPU and memory resources consumed by the tasks that belong to a service and publishes CloudWatch metrics, namely, ECSServiceAverageCPUUtilization and ECSServiceAverageMemoryUtilization, with this data. Application Auto Scaling can then use these [predefined metrics ](https://web.archive.org/web/20240727074557/https://docs.aws.amazon.com/autoscaling/application/APIReference/API_PredefinedMetricSpecification.html)in conjunction with scaling policies to proportionally scale the number of tasks in a service. Additionally, there are use cases where a service’s average CPU and memory usage alone are not reliable indicators of when and to what degree to execute a scaling action. For this, Application Auto Scaling also supports scaling a service based on a [custom metric specification](https://web.archive.org/web/20240727074557/https://docs.aws.amazon.com/autoscaling/application/APIReference/API_CustomizedMetricSpecification.html) that represents a CloudWatch metric of our choosing, which may be better suited. This includes metrics that track other application aspects such as number of HTTP requests received, number of messages retrieved from a queue/topic, and number of database transactions. You can now use CloudWatch metrics or [Prometheus metrics](https://web.archive.org/web/20240727074557/https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/ContainerInsights-Prometheus.html) of your choosing.
To learn more, please visit: [Autoscaling Amazon ECS services based on custom CloudWatch and Prometheus metrics](https://web.archive.org/web/20240727074557/https://aws.amazon.com/blogs/containers/autoscaling-amazon-ecs-services-based-on-custom-cloudwatch-and-prometheus-metrics/)",Elastic Container Service,Using Amazon ECS
9,What compute options are available with Amazon ECS?,"Amazon ECS enables you to run a wide variety of applications with the same experience and tooling across a diverse set of compute options:

[AWS Fargate](https://web.archive.org/web/20240727074557/https://aws.amazon.com/fargate/): AWS Fargate is a serverless, pay-as-you-go compute engine. It removes the burden of server provisioning, cluster management, and orchestration. Amazon ECS uses containers provisioned by AWS Fargate to automatically scale, load balance, and manage scheduling of your containers for availability, providing an easier way to build and operate containerized applications.
[Amazon EC2](https://web.archive.org/web/20240727074557/https://aws.amazon.com/ec2/): With Amazon on ECS on EC2, you own the EC2 instances and have complete control over all aspects of infrastructure management. For instance, you can select specific EC2 instance types or customize the underlying operating system. You can use Auto Scaling Group Capacity Providers to manage the scaling of EC2 instances.
On-premises virtual machines (VM) or servers: 
                 
Amazon ECS Anywhere provides support for registering an external instance such as an on-premises server or virtual machine (VM), to your Amazon ECS cluster. 
The capacity can be located in any of the following AWS resources:     
                   
Availability Zones
Local Zones
Wavelength Zones
AWS Regions
AWS Outposts",Elastic Container Service,Using Amazon ECS
10,Does Amazon ECS support the autoscaling of compute infrastructure?,"Yes. Amazon ECS supports autoscaling compute infrastructure for both AWS Fargate and Amazon EC2, so that you can focus on building and scaling your applications rather than the underlying infrastructure.
Amazon ECS with AWS Fargate provides you a serverless experience, as AWS Fargate automatically provisions, scales, and updates the compute infrastructure needed for your applications.
For your applications that require Amazon EC2 capacity, Amazon ECS provides Auto Scaling Group Capacity Providers which automatically scale Amazon EC2 instances in response to the capacity requirement of your applications. You can create an Amazon EC2 Auto Scaling Group (ASG) with your desired configuration for Amazon EC2 instance types, Amazon Machine Image (AMI), network settings, etc. and create a Capacity Provider to automatically scale Amazon EC2 instances in that ASG based on the scheduling needs and load for your applications. manages the scale-in and scale-out actions of the ASG based on the load your tasks.",Elastic Container Service,Using Amazon ECS
11,What are Amazon ECS Capacity Providers?,"Amazon ECS [capacity providers](https://web.archive.org/web/20240727074557/https://docs.aws.amazon.com/AmazonECS/latest/developerguide/cluster-capacity-providers.html) are the interface through which you can define the capacity needs for your applications. Capacity providers allow you to define flexible rules for how your applications run on different types of compute capacity, and manage the scaling of the capacity. Capacity Providers work with both Amazon EC2 and AWS Fargate. Amazon ECS provides predefined capacity providers for [AWS Fargate and Fargate-Spot](https://web.archive.org/web/20240727074557/https://docs.aws.amazon.com/AmazonECS/latest/developerguide/fargate-capacity-providers.html) capacities for every cluster. For Amazon EC2, you can create your own [ASG capacity providers](https://web.archive.org/web/20240727074557/https://docs.aws.amazon.com/AmazonECS/latest/developerguide/asg-capacity-providers.html) to manage scaling of an Amazon EC2 Auto Scaling Group. When running Amazon ECS tasks and services, you can split them across multiple capacity providers, for instance to run a service in a predefined split percentage across AWS Fargate and Fargate Spot capacities.",Elastic Container Service,Using Amazon ECS
12,Does Amazon ECS support batch jobs?,"Yes. You can use Amazon ECS Run task to run one or more tasks once. Run task starts the task on an instance that meets the task’s requirements including CPU, memory, and ports. You can also use [AWS Batch](https://web.archive.org/web/20240727074557/https://aws.amazon.com/batch/) to plan, schedule, and execute your batch computing workloads using on Amazon ECS, so you can focus on analyzing results and solving problems.",Elastic Container Service,Using Amazon ECS
13,Can I use my own Amazon Machine Image (AMI)?,Yes. You can use any AMI that meets the Amazon ECS AMI specification. We recommend starting from the Amazon ECS-enabled Amazon Linux AMI. Partner AMIs compatible with Amazon ECS are also available. You can review the Amazon ECS AMI specification in the [documentation](https://web.archive.org/web/20240727074557/https://aws.amazon.com/documentation/ecs/).,Elastic Container Service,Using Amazon ECS
14,How can I configure my container instances to pull from Amazon Elastic Container Registry (ECR)?,"Amazon ECR is integrated with Amazon ECS allowing you to easily store, run, and manage container images for applications running on Amazon ECS. All you need to do is specify the Amazon ECR repository in your task Definition and attach the [AmazonEC2ContainerServiceforEC2Role](https://web.archive.org/web/20240727074557/https://docs.aws.amazon.com/AmazonECS/latest/developerguide/instance_IAM_role.html) to your instances. Then Amazon ECS will retrieve the appropriate images for your applications.",Elastic Container Service,Using Amazon ECS
15,When should I use Amazon ECS with AWS Fargate?,[AWS Fargate](https://web.archive.org/web/20240727074557/https://aws.amazon.com/fargate/) offers serverless compute to run containers with Amazon ECS. AWS Fargate allows customers to launch their containers without having to provision or manage Amazon EC2 instances. AWS Fargate is the easiest way to launch and run containers on AWS. Customers requiring greater control of their EC2 instances (to support compliance and governance requirements or broader customization options) can choose to use Amazon ECS with Amazon EC2 instances.,Elastic Container Service,Using Amazon ECS
