question,answer,category,sub_category
What is AWS Fargate?,"
AWS Fargate is a serverless compute engine for containers that works with both [Amazon Elastic Container Service](https://web.archive.org/web/20240727090700/https://aws.amazon.com/ecs/) (ECS) and [Amazon Elastic Kubernetes Service](https://web.archive.org/web/20240727090700/https://aws.amazon.com/eks/) (EKS). AWS Fargate makes it easy to focus on building your applications by eliminating the need to provision and manage servers, lets you specify and pay for resources per application, and improves security through application isolation by design.
",Fragrate,General
Why should I use AWS Fargate?,"
AWS Fargate is a serverless, pay-as-you-go compute engine that lets you focus on building applications without managing servers. AWS Fargate is compatible with both Amazon ECS and Amazon EKS. AWS Fargate makes it easy to scale and manage cloud applications by shifting as much management of the underlying infrastructure resources to AWS so development teams can focus on writing code that solve business problems. Shifting tasks such as server management, resource allocation, and scaling to AWS does not only improve your operational posture, but also accelerates the process of going from idea to production on the cloud and lowers the total cost of ownership (TCO). With multiple CPU architectures and operating systems supported, you can enjoy the serverless benefits of cost, agility and scale across a wide variety of applications.
",Fragrate,General
What use cases does AWS Fargate support?,"
AWS Fargate is useful for a broad range of workloads, including support for common container use cases such as web applications, APIs, microservices architectures, data processing, artificial intelligence and machine learning applications. Also, application modernization when customers are building new applications in the cloud, or migrating a traditional application to the cloud.
",Fragrate,General
How does AWS Fargate work with Amazon ECS and Amazon EKS?,"
Amazon ECS is a highly scalable, high performance container management service and Amazon EKS is a fully managed Kubernetes service. Both services can schedule containers onto AWS Fargate to automatically scale, load balance, and optimize container availability through managed scheduling, providing an easier way to build and operate containerized applications.
",Fragrate,General
Where does my workload run on AWS Fargate?,"
With AWS Fargate each workload runs on its own single use, single tenant compute instance. Each workload is isolated by a virtualization boundary, with each Amazon ECS Task or Kubernetes pod running on a newly provisioned instance. Please see the [AWS Fargate Security Whitepaper](https://web.archive.org/web/20240727090700/https://d1.awsstatic.com/whitepapers/AWS_Fargate_Security_Overview_Whitepaper.pdf) for more detail on the AWS Fargate architecture.
",Fragrate,General
How should I choose when to use AWS Fargate? ,"
Choose AWS Fargate for its isolation model and security. You should also select Fargate if you want to launch containers without having to provision or manage [Amazon Elastic Compute Cloud](https://web.archive.org/web/20240727090700/https://aws.amazon.com/ec2/) (EC2) instances. AWS Fargate has built-in integrations with AWS services and third-party tools that allows you to monitor your applications and gather metrics and logs. And, with AWS Fargate, you pay only for compute resources used, with no upfront expenses. If you require greater control of your Amazon EC2 instances or broader customization options, then use Amazon ECS or Amazon EKS without AWS Fargate. Use Amazon EC2 for GPU workloads, which are not supported on AWS Fargate today.
",Fragrate,General
Can I run my Arm-based applications on AWS Fargate?,"
Yes. When using Amazon ECS, AWS Fargate allows you to run your Arm-based applications by using Arm-compatible container images or multi-architecture container images in [Amazon Elastic Container Registry](https://web.archive.org/web/20240727090700/https://aws.amazon.com/ecr/) (Amazon ECR). You can simply specify the CPU Architecture as Arm64 in your Amazon ECS Task Definition to target AWS Fargate powered by Arm-based [AWS Graviton Processors](https://web.archive.org/web/20240727090700/https://aws.amazon.com/ec2/graviton/). Use Amazon EC2 to run Arm workloads on Amazon EKS, which are not supported on AWS Fargate today.
",Fragrate,General
Can I run my Amazon ECS Windows containers on AWS Fargate?,"
Yes. AWS Fargate offers a serverless approach for running your Windows containers. It removes the need to provision and manage servers and lets you specify and pay for resources per application. AWS Fargate provides task-level isolation and handles the necessary patching and updating to help provide a secure compute environment. Please see the [Windows platform versions ](https://web.archive.org/web/20240727090700/https://docs.aws.amazon.com/AmazonECS/latest/developerguide/platform-windows-fargate.html)documentation page for supported versions of Windows Server.
",Fragrate,General
Can I use my existing Microsoft Windows License with AWS Fargate?,"
Since AWS Fargate is a serverless compute engine, customers do not need to manage the underlying compute instances running in AWS Fargate. Therefore, AWS Fargate will manage the Windows OS licenses for you and the cost of doing so is built into the AWS Fargate pricing. 
",Fragrate,General
What are the service quotas for AWS Fargate? ,"
[Service quotas in AWS Fargate ](https://web.archive.org/web/20240727090700/https://docs.aws.amazon.com/AmazonECS/latest/developerguide/service-quotas.html#service-quotas-fargate)are based on the number of vCPU cores used in a given region in a given account. New AWS accounts might have initial lower quotas that can increase over time, and request to raise these soft limits through the [standard AWS service quota increase process](https://web.archive.org/web/20240727090700/https://docs.aws.amazon.com/servicequotas/latest/userguide/request-quota-increase.html). For workloads that will require significant scale (10,000s of cores) AWS recommends a multi-account strategy.
",Fragrate,General
What does the AWS Fargate SLA guarantee?,"
Our Compute SLA guarantees a Monthly Uptime Percentage of at least 99.99% for AWS Fargate. AWS makes two SLA commitments for the Included Containers Services: (1) a Multi-AZ Included Container Service SLA that governs Included Container Services deployed across multiple AZs; and (2) a Single Task/Pod SLA that governs Included Container Service tasks and pods individually. Please see the [AWS Fargate and Amazon Elastic Container Service SLA](https://web.archive.org/web/20240727090700/https://aws.amazon.com/ecs/sla/) page.
",Fragrate,General
How do I know if I qualify for an SLA Service Credit?,"
You are eligible for an AWS Fargate SLA credit under the Compute SLA if more than one Availability Zone in which you are running a task, within the same region, has a Monthly Uptime Percentage of less than 99.99% during any monthly billing cycle. For full details on all of the terms and conditions of the SLA, as well as details on how to submit a claim, please see the [Compute SLA details page](https://web.archive.org/web/20240727090700/https://aws.amazon.com/compute/sla/).
",Fragrate,General
How can I improve the startup time of my container tasks running on AWS Fargate?,"

Seekable OCI (SOCI) can help reduce the launch time of Amazon ECS tasks on AWS Fargate. SOCI is a technology open sourced by AWS that enables containers to launch faster by lazily loading the container image. To learn how to get started with SOCI, please visit the [documentation](https://web.archive.org/web/20240727090700/https://docs.aws.amazon.com/AmazonECS/latest/userguide/container-considerations.html#fargate-tasks-soci-images) and the [blog post](https://web.archive.org/web/20240727090700/https://aws.amazon.com/blogs/aws/aws-fargate-enables-faster-container-startup-using-seekable-oci/).
Reducing AWS Fargate startup times with zstd compressed container images. The layers of a container image are compressed for efficiency, by default using the [gzip](https://web.archive.org/web/20240727090700/https://en.wikipedia.org/wiki/Gzip) format. However, containerd supports an alternative format known as “[zstd](https://web.archive.org/web/20240727090700/https://en.wikipedia.org/wiki/Zstd)” that has been shown to decompress more quickly, resulting in faster task launch times when using AWS Fargate. [Please see this blogpost](https://web.archive.org/web/20240727090700/https://aws.amazon.com/blogs/containers/reducing-aws-fargate-startup-times-with-zstd-compressed-container-images/) for more details on how to build container images with zstd.

",Fragrate,Using AWS Fargate
How do I size workloads for AWS Fargate?,"
It is recommended to load test applications locally, or in development environments, to understand the requirements of the application to size the request appropriately. [AWS Compute Optimizer](https://web.archive.org/web/20240727090700/https://docs.aws.amazon.com/compute-optimizer/latest/ug/view-ecs-recommendations.html) can be used to provide recommendations if a workload is under or over sized.
",Fragrate,Using AWS Fargate
How do I get network traffic in and out of my workload on AWS Fargate?,"
On AWS Fargate, each ECS Task or Kubernetes Pod is given a dedicated [elastic network interface (ENI)](https://web.archive.org/web/20240727090700/https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-eni.html) attached into your [virtual private cloud (VPC)](https://web.archive.org/web/20240727090700/https://docs.aws.amazon.com/vpc/latest/userguide/what-is-amazon-vpc.html). All traffic in and out of the containerized workload goes through this ENI. Therefore [VPC Security Groups](https://web.archive.org/web/20240727090700/https://docs.aws.amazon.com/vpc/latest/userguide/vpc-security-groups.html) and [VPC network ACLs](https://web.archive.org/web/20240727090700/https://docs.aws.amazon.com/vpc/latest/userguide/vpc-network-acls.html) can be used to secure the ENI, and [VPC Flow Logs](https://web.archive.org/web/20240727090700/https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs.html) can be used to monitor traffic flows.
",Fragrate,Using AWS Fargate
Can I run stateful workloads on AWS Fargate?,"
Each workload that runs on AWS Fargate is given full access to [20 GiB of ephemeral storage](https://web.archive.org/web/20240727090700/https://docs.aws.amazon.com/AmazonECS/latest/developerguide/fargate-task-storage.html) to use as temporary storage while the workload is running. Once the workload has stopped, any data stored in this 20 GiB volume is erased. This ephemeral storage volume can be expanded up to 200GiB on Amazon ECS and 175 GiB on Amazon EKS. [Amazon Elastic File System](https://web.archive.org/web/20240727090700/https://docs.aws.amazon.com/AmazonECS/latest/developerguide/efs-volumes.html) (EFS) an be used to provide persistent storage to workloads running on AWS Fargate.
",Fragrate,Using AWS Fargate
Can I build container images within AWS Fargate?,"
Common approaches to building containers from within containers often require privileged mode (such as with Docker in Docker), which is unavailable in AWS Fargate's security model, or mounting of the docker socket into a container, which is unavailable due to AWS Fargate utilizing containerd as of [Platform Version 1.4](https://web.archive.org/web/20240727090700/https://aws.amazon.com/blogs/containers/aws-fargate-launches-platform-version-1-4/). Alternatively, rootless image build project such as [Kaniko](https://web.archive.org/web/20240727090700/https://github.com/GoogleContainerTools/kaniko) can be deployed within AWS Fargate's security model and are a viable option for building container images.
",Fragrate,Using AWS Fargate
