question,answer,category,sub_category
Q: What is AWS Lambda?,"
                AWS Lambda lets you run code without provisioning or managing servers. You pay only for the compute time you consume - there is no charge when your code is not running. With Lambda, you can run code for virtually any type of application or backend service - all with zero administration. Just upload your code, and Lambda takes care of everything required to run and scale your code with high availability. You can set up your code to automatically trigger from other AWS services or call it directly from any web or mobile app. 
              ",Lambda,General
Q: What is serverless computing?,"
[Serverless computing](https://web.archive.org/web/20240727065740/https://aws.amazon.com/serverless/) allows you to build and run applications and services without thinking about servers. With serverless computing, your application still runs on servers, but all the server management is done by AWS. At the core of serverless computing is AWS Lambda, which lets you run your code without provisioning or managing servers.
",Lambda,General
Q: What events can trigger an AWS Lambda function?,"
Please see our [documentation](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/intro-core-components.html#intro-core-components-event-sources) for a complete list of event sources.
",Lambda,General
Q: When should I use AWS Lambda versus Amazon EC2?,"
Amazon Web Services offers a set of compute services to meet a range of needs.
[Amazon EC2](https://web.archive.org/web/20240727065740/https://aws.amazon.com/ec2/) offers flexibility, with a wide range of instance types and the option to customize the operating system, network and security settings, and the entire software stack, allowing you to easily move existing applications to the cloud. With Amazon EC2 you are responsible for provisioning capacity, monitoring fleet health and performance, and designing for fault tolerance and scalability. [AWS Elastic Beanstalk](https://web.archive.org/web/20240727065740/https://aws.amazon.com/elasticbeanstalk/) offers an easy-to-use service for deploying and scaling web applications in which you retain ownership and full control over the underlying EC2 instances. [Amazon EC2 Container Service](https://web.archive.org/web/20240727065740/https://aws.amazon.com/ecs/) is a scalable management service that supports Docker containers and allows you to easily run distributed applications on a managed cluster of Amazon EC2 instances.
AWS Lambda makes it easy to execute code in response to events, such as changes to Amazon S3 buckets, updates to an Amazon DynamoDB table, or custom events generated by your applications or devices. With Lambda, you do not have to provision your own instances; Lambda performs all the operational and administrative activities on your behalf, including capacity provisioning, monitoring fleet health, applying security patches to the underlying compute resources, deploying your code, running a web service front end, and monitoring and logging your code. AWS Lambda provides easy scaling and high availability to your code without additional effort on your part.
",Lambda,General
Q: What kind of code can run on AWS Lambda?,"
                AWS Lambda offers an easy way to accomplish many activities in the cloud. For example, you can use AWS Lambda to build mobile back-ends that retrieve and transform data from Amazon DynamoDB, handlers that compress or transform objects as they are uploaded to Amazon S3, auditing and reporting of API calls made to any Amazon Web Service, and server-less processing of streaming data using Amazon Kinesis. 
              ",Lambda,General
Q: What languages does AWS Lambda support?,"
AWS Lambda natively supports Java, Go, PowerShell, Node.js, C#, Python, and Ruby code, and provides a Runtime API which allows you to use any additional programming languages to author your functions. Please read our documentation on using [Node.js](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/authoring-function-in-nodejs.html), [Python](https://web.archive.org/web/20240727065740/http://docs.aws.amazon.com/lambda/latest/dg/python-lambda.html), [Java](https://web.archive.org/web/20240727065740/http://docs.aws.amazon.com/lambda/latest/dg/java-lambda.html), [Ruby](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html), [C#](https://web.archive.org/web/20240727065740/http://docs.aws.amazon.com/lambda/latest/dg/current-supported-versions.html), [Go](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/go-programming-model.html), and [PowerShell](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/powershell-programming-model.html).
",Lambda,General
Q: Can I access the infrastructure that AWS Lambda runs on?,"
                No. AWS Lambda operates the compute infrastructure on your behalf, allowing it to perform health checks, apply security patches, and do other routine maintenance. 
              ",Lambda,General
Q: How does AWS Lambda isolate my code?,"
                Each AWS Lambda function runs in its own isolated environment, with its own resources and file system view. AWS Lambda uses the same techniques as Amazon EC2 to provide security and separation at the infrastructure and execution levels. 
              ",Lambda,General
Q: How does AWS Lambda secure my code?,"
                AWS Lambda stores code in Amazon S3 and encrypts it at rest. AWS Lambda performs additional integrity checks while your code is in use. 
              ",Lambda,General
Q: What AWS regions are available for AWS Lambda?,"
Please refer to the [AWS Global Infrastructure Region Table](https://web.archive.org/web/20240727065740/https://aws.amazon.com/about-aws/global-infrastructure/regional-product-services/).
",Lambda,General
Q: What is an AWS Lambda function?,"
                The code you run on AWS Lambda is uploaded as a “Lambda function”. Each function has associated configuration information, such as its name, description, entry point, and resource requirements. The code must be written in a “stateless” style i.e. it should assume there is no affinity to the underlying compute infrastructure. Local file system access, child processes, and similar artifacts may not extend beyond the lifetime of the request, and any persistent state should be stored in Amazon S3, Amazon DynamoDB, Amazon EFS, or another Internet-available storage service. Lambda functions can include libraries, even native ones. 
              ",Lambda,AWS Lambda Functions
Q: Will AWS Lambda reuse function instances?,"
To improve performance, AWS Lambda may choose to retain an instance of your function and reuse it to serve a subsequent request, rather than creating a new copy. To learn more about how Lambda reuses function instances, visit our [documentation](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/lambda-introduction.html). Your code should not assume that this will always happen.
",Lambda,AWS Lambda Functions
Q: What if I need scratch space on disk for my AWS Lambda function?,"
You can configure each Lambda function with its own ephemeral storage between 512MB and 10,240MB, in 1MB increments. The ephemeral storage is available in each function’s /tmp directory.
Each function has access to 512MB of storage at no additional cost. When configuring your functions with more than 512MB of ephemeral storage, you will be charged based on the amount of storage you configure, and how long your function runs, metered in 1ms increments. For comparison, in the US East (Ohio) region, the AWS Fargate ephemeral storage price is $0.000111 per GB-hour, or $0.08 per GB-month. Amazon EBS gp3 storage volume pricing in US East (Ohio) is $0.08 per GB-month. AWS Lambda ephemeral storage pricing is $0.0000000309 per GB-second, or $0.000111 per GB-hour and $0.08 per GB-month. To learn more, see [AWS Lambda Pricing](https://web.archive.org/web/20240727065740/https://aws.amazon.com/lambda/pricing/).
",Lambda,AWS Lambda Functions
Q: How do I configure my application to use AWS Lambda ephemeral storage?,"
                You can configure each Lambda function with its own ephemeral storage between 512MB and 10,240MB, in 1MB increments by using the AWS Lambda console, AWS Lambda API, or AWS CloudFormation template during function creation or update. 
              ",Lambda,AWS Lambda Functions
