question,answer,category,sub_category
What is Amazon Lightsail?,"
Amazon Lightsail is a virtual private server (VPS) provider and is the easiest way to get started with AWS for developers, small businesses, students, and other users who need a solution to build and host their applications on cloud. Lightsail provides developers compute, storage, and networking capacity and capabilities to deploy and manage websites and web applications in the cloud. Lightsail includes everything you need to launch your project quickly – virtual machines, containers, databases, CDN, load balancers, DNS management etc. – for a low, predictable monthly price.
",Lightsail,General
What is a Virtual Private Server?,"
A virtual private server, also known as an ""instance"", allows users to run websites and web applications in a highly secure and available environment, while being cost effective.
",Lightsail,General
What are the benefits of a VPS?,"
There are many benefits to using a virtual private server, including affordability, scalability, security, and customizable resources.
",Lightsail,General
What can I do with Lightsail?,"
You can choose among several preconfigured VPS plans that include everything you need to easily deploy and manage your application. Lightsail is best suited for projects that require a few virtual private servers and users who prefer a simple management interface. Common use cases for Lightsail include running websites, web applications, blogs, e-commerce sites, simple software, and more.
",Lightsail,General
What is a Lightsail instance plan?,"
Also referred to as a bundle, a Lightsail plan includes a virtual private server with a fixed amount of memory (RAM) and compute (vCPUs), SSD-based storage (disks), and a data transfer allowance. Lightsail plans also offer static IP addresses (5 per account) and DNS management (6 domain zones per account). Lightsail plans are charged on an hourly, on-demand basis, so you only pay for a plan when you're using it.
",Lightsail,General
Are Lightsail plans the same across AWS Regions?,"
As Lightsail expands its availability across more Regions, we’re evolving our infrastructure to provide a better overall customer experience. As a result, plans in certain Regions will have different specifications, such as an additional vCPU, compared to plans in other Regions.
",Lightsail,General
What is a Lightsail instance?,"
A Lightsail instance is a virtual private server (VPS) that lives in the AWS Cloud. Use your Lightsail instances to store your data, run your code, and build web-based applications or websites. Your instances can connect to each other and to other AWS resources through both public (Internet) and private (VPC) networking. You can create, manage, and connect easily to instances right from the Lightsail console.
",Lightsail,General
What software can I run on my instance?,"
Lightsail offers a range of operating system and application templates that are automatically installed when you create a new Lightsail instance. Application templates include WordPress, Drupal, Joomla!, Ghost, Magento, Redmine, LAMP, Nginx (LEMP), MEAN, Node.js, Django, and more.
You can install additional software on your instances by using the in-browser SSH or your own SSH client.
",Lightsail,General
How do I create a Lightsail instance?,"
After logging in to Lightsail, you can use the Lightsail [console](https://web.archive.org/web/20240727061427/https://lightsail.aws.amazon.com/ls/webapp?fid=3BE5EA8FA64943AD-0284EED1954F5F15), command line interface (CLI), or API to create and manage instances.
The first time you log in to the console, choose Create Instance. The create instance page is where you can choose the software, location, and name for your instance. Once you choose Create, your new instance will spin up automatically within minutes.
",Lightsail,General
Does Lightsail offer an API?,"
Yes. Everything you do in the Lightsail console is backed by a publicly available API. Learn how to install and use the Lightsail [CLI](https://web.archive.org/web/20240727061427/https://docs.aws.amazon.com/cli/latest/reference/lightsail/index.html?fid=3BE5EA8FA64943AD-0284EED1954F5F15) and [API](https://web.archive.org/web/20240727061427/http://docs.aws.amazon.com/lightsail/2016-11-28/api-reference/Welcome.html?fid=3BE5EA8FA64943AD-0284EED1954F5F15).
",Lightsail,General
How do I sign up for Lightsail?,"
To start using Lightsail, choose [Get Started](https://web.archive.org/web/20240727061427/https://portal.aws.amazon.com/gp/aws/developer/registration/index.html?client=lightsail&fid=3BE5EA8FA64943AD-0284EED1954F5F15) and log in. You use your Amazon Web Services account to access Lightsail; if you don't already have one, you'll be prompted to create one.
",Lightsail,General
How do Lightsail instances perform?,"
Lightsail instances are specifically engineered by AWS for web servers, developer environments, and small database use cases. Such workloads don't use the full CPU often or consistently, but occasionally need a performance burst. Lightsail uses burstable performance instances that provide a baseline level of CPU performance with the additional ability to burst above the baseline. This design enables you to get the performance you need, when you need it, while protecting you from the variable performance or other common side effects that you might typically experience from over-subscription in other environments. For more information on burstable performance, go [here](https://web.archive.org/web/20240727061427/https://lightsail.aws.amazon.com/ls/docs/en_us/articles/amazon-lightsail-frequently-asked-questions-faq).
If you need highly configurable environments and instances with consistently high CPU performance for applications such as video encoding or HPC applications, we recommend you use [Amazon EC2](https://web.archive.org/web/20240727061427/https://aws.amazon.com/ec2/).
",Lightsail,Lightsail resources
