question,answer,category,sub_category
Why would I use AWS Outposts rack instead of operating in an AWS Region?,"
You can use Outposts rack to support your applications that have low latency or local data processing requirements. These applications may need to generate near real-time responses to end user applications or need to communicate with other on-premises systems or control on-site equipment. These can include workloads running on factory floors for automated operations in manufacturing, real-time patient diagnosis or medical imaging, and content and media streaming. You can use Outposts rack to securely store and process customer data that needs to remain on premises or in countries where there is no AWS Region. You can run data intensive workloads on Outposts rack and process data locally when transmitting data to AWS Regions is expensive and wasteful and for better control on data analysis, backup and restore.
",Outpost,General
In which AWS Regions is Outposts rack available?,"
Outposts rack is supported in the following AWS Regions and customers can connect their Outposts to the following AWS Regions:



US East (Ohio)
us-east-2


US East (N. Virginia)
us-east-1


US West (N. California)
us-west-1


US West (Oregon)
us-west-2


Canada (Central)
ca-central-1


South America (São Paulo)
sa-east-1


EU (Frankfurt)
eu-central-1


EU (Ireland)
eu-west-1


EU (Stockholm)
eu-north-1


EU (Paris)
eu-west-3


EU (London)
eu-west-2


EU (Milan)
eu-south-1


Middle East (Bahrain)
me-south-1


Middle East (UAE)
me-central-1


Israel (Tel Aviv)
il-central-1


Africa (Cape Town)
af-south-1


Asia Pacific (Sydney)
ap-southeast-2


Asia Pacific (Tokyo)
ap-northeast-1


Asia Pacific (Seoul)
ap-northeast-2


Asia Pacific (Singapore)
ap-southeast-1


Asia Pacific (Mumbai)
ap-south-1


Asia Pacific (Osaka)
ap-northeast-3


Asia Pacific (Jakarta)
ap-southeast-3


AWS GovCloud (US-West)
us-gov-west-1


AWS GovCloud (US-East)
us-gov-east-1



 
",Outpost,General
In which countries and territories is Outposts rack available?,"
Outposts rack can be shipped to and installed in the following countries and territories.

NA - US, Canada, Mexico
EMEA - All EU countries, United Kingdom (UK), Switzerland, Norway, Bahrain, the United Arab Emirates (UAE), Israel, South Africa, Gibraltar, Morocco, Nigeria, Kenya, Oman, Kazakhstan, Serbia, Qatar, Egypt, Iceland, Turkey, the Kingdom of Saudi Arabia*, Senegal
APAC - Australia, New Zealand, Japan, South Korea, Taiwan, Singapore, Indonesia, Malaysia, Thailand, the Philippines, Brunei, India, Vietnam, Bangladesh
SA - Brazil, Colombia, Argentina, Chile, Peru, Ecuador, Trinidad and Tobago, Uruguay
CA - Puerto Rico, Costa Rica, Panama, Guatemala

Support for more countries and territories is coming soon.
* Customers deploying in the Kingdom of Saudi Arabia may require additional authorization. Contact your AWS Sales Representative to learn more.
",Outpost,General
Can I order an Outpost to a country or territory where Outposts rack has not launched and link it back to a supported Region?,"
No, we can deliver and install Outposts rack only in countries and territories where Outposts rack can be delivered and supported.
",Outpost,General
Can I use Outposts rack when it is not connected to the AWS Region or in a disconnected environment?,"
An Outpost relies on connectivity to the parent AWS Region. Outposts rack is not designed for disconnected operations or environments with limited to no connectivity. We recommend that customers have highly available networking connections back to their AWS Region. If interested in leveraging AWS services in disconnected environments such as cruise ships or remote mining locations, learn more about AWS services such as Snowball Edge, which is optimized to operate in environments with limited to no connectivity.
",Outpost,General
Can I reuse my existing servers in an Outpost?,"
No, AWS Outposts rack leverages AWS designed infrastructure, and is only supported on AWS-designed hardware that is optimized for secure, high-performance, and reliable operations.
",Outpost,General
Is there a software-only version of AWS Outposts rack?,"
No, AWS Outposts rack is a fully managed service that provides you with native access to AWS services.
",Outpost,General
Can I order my own hardware that can be installed as part of my Outposts rack?,"
No, AWS Outposts rack provides fully integrated AWS designed configurations with built in top-of-rack switches and redundant power supply to ensure an ideal AWS experience. You can order as much compute and storage infrastructure as you need by selecting from the range of available Outposts rack options, or work with us to create a custom combination with your desired Amazon Elastic Compute Cloud (EC2), Amazon Elastic Block Store (EBS), and Amazon Simple Storage Service (S3) capacity. These are pre-validated and tested to ensure that you can get started quickly with no additional effort or configuration required on-site.
",Outpost,General
Can I create EC2 instances using an EBS backed AMI on my Outposts?,"
Yes, you can launch EC2 instances using the AMIs backed with EBS gp2 volume types.
",Outpost,AWS services
Where are EBS snapshots stored?,"
EBS snapshots of EBS Volumes on Outposts rack are stored by default on Amazon S3 in the Region. If the Outpost is provisioned with Amazon S3 on Outposts you have the option to store your snapshots locally on your Outpost. EBS snapshots are incremental, which means that only the blocks on your Outpost that have changed after your most recent snapshot are saved. You can at any time restore (hydrate) EBS Volume on Outposts from the stored snapshots. To learn more, visit the EBS Snapshots [documentation](https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/snapshots-outposts.html).
",Outpost,AWS services
How do I enforce data residency on Outposts rack using EBS Local Snapshots on Outposts?,"
You can set resource-level IAM policies and permissions on your Outpost for EBS Local Snapshots on Outposts and AMI images to enforce data residency. Each account (or IAM user or role) can set up a data residency enforcement policy for single or multiple Outposts. This will block the creation or copy of local snapshots and images as well as API/CLI calls outside the specified Outposts rack ARN. All of the create, update, and copy operations are logged in CloudTrail audit logs, so you can track that local snapshots reside in your location. To learn more, visit the EBS Snapshots [documentation](https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/snapshots-outposts.html).
",Outpost,AWS services
What use cases are best suited to run on S3 on Outposts?,"
[S3 on Outposts](https://aws.amazon.com/s3/outposts/) is ideal for customers with data residency requirements or those in regulated industries that need to securely store and process customer data that needs to remain on premises or in locations where there is no AWS region. Additionally, customers can use S3 on Outposts to run data intensive workloads to process data locally and store on-premises. S3 on Outposts will also help if you have applications that need to communicate with other on-premises systems or control on-site equipment, such as within a factory, hospital, or research facility.
",Outpost,AWS services
How can I establish network connectivity between my Outpost and the AWS Region?,"
You can choose to establish Outposts rack service link VPN connection to the parent AWS Region via an AWS Direct Connect private connection, a public virtual interface, or the public Internet.
",Outpost,AWS services
Is Application Load Balancer available on Outposts rack?,"
Yes, Application Load Balancer is available on Outposts rack in all AWS Regions where Outposts rack is available, except the AWS GovCloud (US) Regions.
",Outpost,AWS services
Can Outposts rack support real-time applications with low-latency requirements?,"
Yes, with Amazon RDS on Outposts you can run managed Microsoft SQL Server, MySQL, and PostgreSQL databases on premises for low latency workloads that need to be run in close proximity to on premises data and applications. You can manage RDS databases both in the cloud and on premises using the same AWS Management Console, APIs, and CLI. For ultra low-latency applications, ElastiCache on Outposts enables sub-millisecond responses for real-time applications, including workloads running on factory floors for automated operations in manufacturing, real-time patient diagnosis, and media streaming.
",Outpost,AWS services
Can Outposts rack be used to meet data residency requirements?,"
Yes. Customer data can be configured to remain on Outposts rack using Amazon Elastic Block Store (EBS) and Amazon Simple Storage Service (S3) on Outposts, in the customer’s on-premises location or specified co-location facility. Well-architected applications using Outposts rack and AWS services and tools address the data residency requirements we most commonly hear from our customers. AWS Identity and Access Management (IAM) lets you control access to AWS resources. You can use IAM and granular data control rules to specify which types of data must remain on Outposts rack and cannot be replicated to the AWS Region. S3 on Outposts stores data on your Outpost by default, and you may choose to replicate some or all of your data to AWS Regions based on your specific residency requirements. ElastiCache on Outposts allows you to securely process customer data locally on the Outposts rack. Some limited meta-data (e.g. instance IDs, monitoring metrics, metering records, tags, bucket names, etc.) will flow back to the AWS Region.  To ensure your unique data residency requirements are met, we recommend you confirm and work closely with your compliance and security teams.
",Outpost,AWS services
Is Resource Sharing available on AWS Outposts rack?,"
Yes. AWS Resource Access Manager (RAM) is a service that enables you to share your AWS resources with any AWS account or within your AWS Organization. RAM support lets you, the Outpost owner, create and manage Outpost resources — EC2 instances, EBS volumes, subnets, and local gateways (LGWs) centrally — and share the resources across multiple AWS accounts within the same AWS organization. This allows others to configure VPCs, launch and run instances, and create EBS volumes on the shared Outpost.
",Outpost,AWS services
Which EC2 instances are available on Outposts rack?,"
EC2 instances built on the [AWS Nitro System](https://aws.amazon.com/ec2/nitro/), for general purpose, compute optimized, memory optimized, storage optimized, and GPU optimized with Intel Xeon Scalable processors are supported on AWS Outposts rack, and Graviton processors based EC2 instances are coming soon.
",Outpost,AWS services
How can I use Route 53 Resolver on Outposts?,"
You can use [Route 53 Resolver](https://aws.amazon.com/route53/resolver/) to resolve Domain Name Server (DNS) queries locally on Outposts racks, improving the availability and performance of your on-premises applications. When you enable Route 53 Resolver on Outposts, Route 53 automatically stores DNS responses on Outposts racks and provides continued DNS resolution for your applications even during unexpected network disconnects to the parent AWS Region. By serving DNS responses locally, Route 53 Resolver on Outposts also enables low-latency DNS resolution, improving the performance of your on-premises applications.
In addition, you can connect the Route 53 Resolvers on Outposts racks with DNS servers in your on-premises data centers through Route 53 Resolver endpoints. This enables resolution of DNS queries between the Outposts racks and your other on-premises resources.
",Outpost,AWS services
Are there any prerequisites for deploying Outposts 42U racks at my location?,"
Your site must support the basic power, networking and space requirements to host an Outpost. An Outposts rack needs 5-15 kVA, can support 1/10/40/100 Gbps uplinks, and space for a 42U rack (80” X 24” X 48” dimensions). As Outposts rack requires reliable network connectivity to the AWS Region, you should plan for a public internet connection. Customers must have Enterprise Support or Enterprise On-Ramp Support, which provides 24x7 remote support within 15 minutes or within 30 minutes depending on the Support plan selected.
",Outpost,Getting started with ordering and installation
What happens at term end?,"
At the end of your Outposts rack term, you can either renew your subscription and keep your existing Outposts rack(s), or return your Outposts rack(s). If you do not notify AWS which option you intend to take, your Outposts rack(s) will be renewed on a monthly basis, at the rate of the No Upfront payment option corresponding to your AWS Outposts rack configuration. For more information, see term end documentation [here](https://docs.aws.amazon.com/outposts/latest/userguide/term-end-racks.html).
",Outpost,Billing
Do the same compliance certifications for AWS Services today apply for services on Outposts rack?,"
AWS Outposts rack itself is HIPAA eligible, PCI, SOC, ISMAP, IRAP and FINMA compliant, ISO, CSA STAR, and HITRUST certified, and we expect to add more compliance certifications in coming months. You can see the latest certification status for [AWS Services on Outposts rack on our Services in Scope](https://aws.amazon.com/compliance/services-in-scope/) page. AWS Services on Outposts rack like RDS or Elasticache Redis that have achieved certifications like PCI are also considered certified on Outposts rack. As AWS Outposts rack runs at the customer’s data center, under the AWS Shared Responsibility model customers own the responsibility for physical security and access controls around the Outpost for compliance certification.
",Outpost,Security and compliance
Is AWS Outposts rack GxP Compatible?,"
Yes, AWS Outposts rack is GxP compatible. AWS Outposts rack extends AWS services to AWS-managed infrastructure that is physically located at a customer site. Outposts rack capacity can be accessed locally over a local gateway that is mapped to the customer’s local network, in addition to having a connection path back to the AWS Region. You can learn more about using the AWS Cloud, including Outposts rack, for GxP systems [here](https://aws.amazon.com/compliance/gxp-part-11-annex-11/). GxP-regulated life sciences organizations using AWS services are responsible for designing and verifying their GxP compliance.
",Outpost,Security and compliance
