Total records: 3655, Batch Size: 100
Inserted batch: 1, with 100 objects
Inserted batch: 2, with 100 objects
Inserted batch: 3, with 100 objects
Inserted batch: 4, with 100 objects
Inserted batch: 5, with 100 objects
Inserted batch: 6, with 100 objects
Inserted batch: 7, with 100 objects
Inserted batch: 8, with 100 objects
Inserted batch: 9, with 100 objects
Inserted batch: 10, with 100 objects
Inserted batch: 11, with 100 objects
Inserted batch: 12, with 100 objects
Inserted batch: 13, with 100 objects
Inserted batch: 14, with 100 objects
Inserted batch: 15, with 100 objects
Inserted batch: 16, with 100 objects
Inserted batch: 17, with 100 objects
Inserted batch: 18, with 100 objects
Inserted batch: 19, with 100 objects
Inserted batch: 20, with 100 objects
Inserted batch: 21, with 100 objects
Inserted batch: 22, with 100 objects
Inserted batch: 23, with 100 objects
Inserted batch: 24, with 100 objects
Inserted batch: 25, with 100 objects
Inserted batch: 26, with 100 objects
Inserted batch: 27, with 100 objects
Inserted batch: 28, with 100 objects
Inserted batch: 29, with 100 objects
Inserted batch: 30, with 100 objects
Inserted batch: 31, with 100 objects
Inserted batch: 32, with 100 objects
Inserted batch: 33, with 100 objects
Inserted batch: 34, with 100 objects
Inserted batch: 35, with 100 objects
Inserted batch: 36, with 100 objects
Inserted batch: 37, with 55 objects
